"","sites","x2018","x2019","x2021","x2022","x2023","x2024","y2018","y2019","y2021","y2022","y2023","y2024","dist2018.2019","dist2019.2021","dist2021.2022","dist2022.2023","dist2023.2024","dist2018.2021","dist2019.2022","dist2021.2023","dist2022.2024","dist2018.2022","dist2019.2023","dist2021.2024","dist2018.2023","dist2019.2024","dist2018.2024"
"84","WBNP-PARS-27",-112.44325,NA,NA,NA,NA,NA,59.93098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","WBNP-PARS-28",-112.20304,NA,NA,NA,NA,NA,59.73571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","WBNP-PARS-29",-112.21706,NA,NA,NA,NA,NA,59.74374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","WBNP-PCPT-01",-112.31653,NA,NA,NA,NA,NA,59.45677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","WBNP-PCPT-02",-112.47673,NA,NA,NA,NA,NA,59.35662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","WBNP-PCPT-03",-112.47235,NA,NA,NA,NA,NA,59.34777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","WBNP-PCPT-04",-112.46995,NA,NA,NA,NA,NA,59.30383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","WBNP-PLR-01",NA,-112.26004,-112.26004,-112.26004,NA,-112.260156,NA,59.58572,59.58572,59.58572,NA,59.585747,NA,0,0,NA,NA,NA,0,NA,7.19506822788186,NA,NA,7.19506822788186,NA,7.19506822788186,NA
"92","WBNP-PLR-02",NA,-112.25515,-112.25515,-112.25515,NA,-112.255287,NA,59.58308,59.58308,59.58308,NA,59.583054,NA,0,0,NA,NA,NA,0,NA,8.24592984421314,NA,NA,8.24592984421314,NA,8.24592984421314,NA
"93","WBNP-PLR-03",NA,-112.25938,-112.25938,-112.25938,NA,-112.259559,NA,59.57945,59.57945,59.57945,NA,59.579457,NA,0,0,NA,NA,NA,0,NA,10.1195333450984,NA,NA,10.1195333450984,NA,10.1195333450984,NA
"94","WBNP-PLR-04",NA,-112.26594,-112.26594,-112.26594,NA,-112.265975,NA,59.58239,59.58239,59.58239,NA,59.582375,NA,0,0,NA,NA,NA,0,NA,2.58447040025547,NA,NA,2.58447040025547,NA,2.58447040025547,NA
"95","WBNP-PLRD-10",-112.06429,NA,NA,NA,NA,NA,59.78506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","WBNP-PLRD-11",-111.9789,NA,NA,NA,NA,NA,59.81577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","WBNP-PLRD-12",-111.97874,NA,NA,NA,NA,NA,59.81076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","WBNP-PLRD-13",-111.9986,NA,NA,NA,NA,NA,59.81155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","WBNP-PLRD-14",-111.99406,NA,NA,NA,NA,NA,59.81535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","WBNP-PLRD-15",-112.02072,NA,NA,NA,NA,NA,59.7932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","WBNP-PLRD-16",-112.03416,NA,NA,NA,NA,NA,59.79898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","WBNP-PLRD-17",-112.02332,NA,NA,NA,NA,NA,59.80123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","WBNP-PLRD-18",-112.03042,NA,NA,NA,NA,NA,59.79016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","WBNP-PLRD-19",-112.03838,NA,NA,NA,NA,NA,59.79478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","WBNP-PR-01",NA,NA,NA,NA,NA,-112.345774,NA,NA,NA,NA,NA,59.129794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","WBNP-PR-02",NA,NA,NA,NA,NA,-112.342706,NA,NA,NA,NA,NA,59.126355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","WBNP-PR-03",NA,NA,NA,NA,NA,-112.335099,NA,NA,NA,NA,NA,59.126429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","WBNP-PR-04",NA,NA,NA,NA,NA,-112.337676,NA,NA,NA,NA,NA,59.129804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","WBNP-RAIN-01",-112.09245,NA,NA,NA,NA,NA,59.77338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","WBNP-RAIN-02",-112.09382,NA,NA,NA,NA,NA,59.77615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","WBNP-SAPL-01",-112.39755,-112.39746,NA,-112.39746,-112.39748,-112.39748,59.9664,59.96645,NA,59.96645,59.96645,59.96645,7.49165453796534,NA,NA,1.11432373742376,0,NA,0,NA,1.11432373742376,7.49165453796534,1.11432373742376,NA,NA,1.11432373742376,6.79640593173739
"112","WBNP-SAPL-02",-112.40359,-112.40363,NA,-112.40363,-112.40361,-112.40361,59.96241,59.96233,NA,59.96233,59.96235,59.96235,9.18025484221178,NA,NA,2.4897464039982,0,NA,0,NA,2.4897464039982,9.18025484221178,2.4897464039982,NA,NA,2.4897464039982,6.77150847656064
"113","WBNP-SLRI-01",NA,-111.46468,NA,-111.4647,NA,NA,NA,59.3891,NA,59.38907,NA,NA,NA,NA,NA,NA,NA,NA,3.52676599776851,NA,NA,NA,NA,NA,NA,NA,NA
"114","WBNP-SLRI-02",NA,-111.452317,NA,-111.4523,NA,NA,NA,59.358983,NA,59.35895,NA,NA,NA,NA,NA,NA,NA,NA,3.79804751329804,NA,NA,NA,NA,NA,NA,NA,NA
"115","WBNP-SLRI-03",NA,NA,NA,-111.458874,NA,NA,NA,NA,NA,59.37011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","WBNP-SLRI-04",NA,NA,NA,-111.454274,NA,NA,NA,NA,NA,59.35003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
