bsm_id,bsm_scientific_name,bsm_common_name,bsm_species_id,exists_in_wt
5030,Pteridophora alberti,King-of-Saxony Bird-of-Paradise,,t
5031,Pternistis adspersus,Red-billed Spurfowl,,t
5032,Pternistis afer,Red-necked Spurfowl,,t
5033,Pternistis ahantensis,Ahanta Spurfowl,,f
5034,Pternistis bicalcaratus,Double-spurred Spurfowl,,t
5035,Pternistis capensis,Cape Spurfowl,,f
5036,Pternistis erckelii,Erckel's Spurfowl,,f
5037,Pternistis hildebrandti,Hildebrandt's Spurfowl,,f
5038,Pternistis leucoscepus,Yellow-necked Spurfowl,,t
5039,Pternistis natalensis,Natal Spurfowl,,t
5040,Pternistis squamatus,Scaly Spurfowl,,t
5041,Pternistis swainsonii,Swainson's Spurfowl,,t
5044,Pterocles namaqua,Namaqua Sandgrouse,,t
5046,Pterocles senegallus,Spotted Sandgrouse,,t
5057,Pteroglossus aracari,Black-necked Aracari,,t
5058,Pteroglossus azara,Ivory-billed Aracari,,t
5059,Pteroglossus bailloni,Saffron Toucanet,,t
5060,Pteroglossus beauharnaisii,Curl-crested Aracari,,f
5061,Pteroglossus bitorquatus,Red-necked Aracari,,f
5062,Pteroglossus castanotis,Chestnut-eared Aracari,,t
5064,Pteroglossus inscriptus,Lettered Aracari,,t
5065,Pteroglossus pluricinctus,Many-banded Aracari,,t
5067,Pterophylla camellifolia,Common True Katydid,,f
5068,Pteroptochos castaneus,Chestnut-throated Huet-huet,,t
5069,Pteroptochos megapodius,Moustached Turca,,t
5070,Pteroptochos tarnii,Black-throated Huet-huet,,t
5071,Pterorhinus albogularis,White-throated Laughingthrush,,f
5072,Pterorhinus berthemyi,Buffy Laughingthrush,,f
5073,Pterorhinus chinensis,Black-throated Laughingthrush,,f
5074,Pterorhinus davidi,Pere David's Laughingthrush,,f
5075,Pterorhinus delesserti,Wayanad Laughingthrush,,f
5076,Pterorhinus mitratus,Chestnut-capped Laughingthrush,,f
5078,Pterorhinus perspicillatus,Masked Laughingthrush,,f
5079,Pterorhinus poecilorhynchus,Rusty Laughingthrush,,f
5080,Pterorhinus ruficollis,Rufous-necked Laughingthrush,,f
5081,Pterorhinus sannio,White-browed Laughingthrush,,f
5082,Pterorhinus treacheri,Chestnut-hooded Laughingthrush,,f
5083,Pteruthius aeralatus,White-browed Shrike-Babbler,,t
5084,Pteruthius intermedius,Clicking Shrike-Babbler,,f
5085,Pteruthius melanotis,Black-eared Shrike-Babbler,,t
5086,Pteruthius ripleyi,Himalayan Shrike-Babbler,,t
5087,Pteruthius rufiventer,Black-headed Shrike-Babbler,,t
5088,Pteruthius xanthochlorus,Green Shrike-Babbler,,t
5089,Ptilinopus iozonus,Orange-bellied Fruit-Dove,,t
5090,Ptilinopus magnificus,Wompoo Fruit-Dove,,t
5091,Ptilinopus melanospilus,Black-naped Fruit-Dove,,t
5092,Ptilinopus occipitalis,Yellow-breasted Fruit-Dove,,t
5093,Ptilinopus pelewensis,Palau Fruit-Dove,,f
5094,Ptilinopus porphyraceus,Crimson-crowned Fruit-Dove,,f
5095,Ptilinopus regina,Rose-crowned Fruit-Dove,,t
5096,Ptilinopus rivoli,White-breasted Fruit-Dove,,f
5097,Ptilinopus solomonensis,Yellow-bibbed Fruit-Dove,,t
5098,Ptilinopus superbus,Superb Fruit-Dove,,t
5099,Ptilinopus viridis,Claret-breasted Fruit-Dove,,t
5101,Ptiliogonys cinereus,Grey Silky-flycatcher,1258,t
5102,Ptilocichla falcata,Falcated Wren-Babbler,,t
5103,Ptilocichla leucogrammica,Bornean Wren-Babbler,,t
5104,Ptilocichla mindanensis,Striated Wren-Babbler,,t
5105,Ptilonorhynchus violaceus,Satin Bowerbird,,t
5106,Ptilopachus petrosus,Stone Partridge,,t
5107,Ptiloprora guisei,Rufous-backed Honeyeater,,f
5108,Ptiloprora perstriata,Grey-streaked Honeyeater,,t
5109,Ptilopsis leucotis,Northern White-faced Owl,,f
5110,Ptiloris magnificus,Magnificent Riflebird,,t
5111,Ptiloris paradiseus,Paradise Riflebird,,t
5112,Ptiloris victoriae,Victoria's Riflebird,,t
5113,Ptilorrhoa caerulescens,Blue Jewel-babbler,,t
5114,Ptilorrhoa castanonota,Chestnut-backed Jewel-babbler,,t
5115,Ptilorrhoa leucosticta,Spotted Jewel-babbler,,t
5116,Ptilostomus afer,Piapiac,,f
5117,Ptilotula fusca,Fuscous Honeyeater,,t
5118,Ptilotula ornata,Yellow-plumed Honeyeater,,t
5119,Ptilotula penicillata,White-plumed Honeyeater,,t
5121,Ptyonoprogne concolor,Dusky Crag Martin,,t
5122,Ptyonoprogne fuligula,Rock Martin,,t
5124,Pucrasia macrolopha,Koklass Pheasant,,t
5125,Puffinus bailloni,Tropical Shearwater,,f
5129,Pulsatrix koeniswaldiana,Tawny-browed Owl,,t
5130,Pulsatrix melanota,Band-bellied Owl,,t
5132,Purnella albifrons,White-fronted Honeyeater,,t
5133,Purpureicephalus spurius,Red-capped Parrot,,t
5134,Pycnonotus aurigaster,Sooty-headed Bulbul,,t
5136,Pycnonotus brunneus,Red-eyed Bulbul,,t
5138,Pycnonotus capensis,Cape Bulbul,,t
5139,Pycnonotus conradi,Streak-eared Bulbul,,t
5140,Pycnonotus finlaysoni,Stripe-throated Bulbul,,t
5141,Pycnonotus flavescens,Flavescent Bulbul,,t
5142,Pycnonotus goiavier,Yellow-vented Bulbul,,t
5144,Pycnonotus leucogenys,Himalayan Bulbul,,t
5145,Pycnonotus leucotis,White-eared Bulbul,,t
5146,Pycnonotus luteolus,White-browed Bulbul,,t
5147,Pycnonotus nigricans,Black-fronted Bulbul,,t
5148,Pycnonotus plumosus,Olive-winged Bulbul,,t
5149,Pycnonotus simplex,Cream-vented Bulbul,,t
5150,Pycnonotus sinensis,Light-vented Bulbul,,t
5151,Pycnonotus striatus,Striated Bulbul,,t
5152,Pycnonotus taivanus,Styan's Bulbul,,t
5153,Pycnonotus xantholaemus,Yellow-throated Bulbul,,t
5154,Pycnonotus xanthopygos,White-spectacled Bulbul,,t
5155,Pycnonotus xanthorrhous,Brown-breasted Bulbul,,t
5156,Pycnonotus zeylanicus,Straw-headed Bulbul,,t
5157,Pycnoptilus floccosus,Pilotbird,,t
5158,Pygarrhichas albogularis,White-throated Treerunner,,t
5159,Pygiptila stellaris,Spot-winged Antshrike,,t
5161,Pygoscelis adeliae,Adelie Penguin,,t
5162,Pygoscelis antarcticus,Chinstrap Penguin,,t
5163,Pygoscelis papua,Gentoo Penguin,,t
5164,Pyriglena atra,Fringe-backed Fire-eye,,t
5165,Pyriglena leuconota,East Amazonian Fire-eye,,t
5166,Pyriglena leucoptera,White-shouldered Fire-eye,,t
5167,Pyriglena maura,Western Fire-eye,,f
5168,Pyrilia barrabandi,Orange-cheeked Parrot,,t
5169,Pyrilia caica,Caica Parrot,,t
5171,Pyrilia pulchra,Rose-faced Parrot,,t
5174,Pyroderus scutatus,Red-ruffed Fruitcrow,,t
5175,Pyrope pyrope,Fire-eyed Diucon,,f
5176,Pyrrhocorax graculus,Alpine Chough,4714,t
5178,Pyrrholaemus brunneus,Redthroat,,t
5179,Pyrrholaemus sagittatus,Speckled Warbler,,t
5180,Pyrrhomyias cinnamomeus,Cinnamon Flycatcher,,t
5181,Pyrrhula erythaca,Grey-headed Bullfinch,,t
5182,Pyrrhula nipalensis,Brown Bullfinch,,t
5184,Pyrrhura albipectus,White-necked Parakeet,,t
5185,Pyrrhura amazonum,Santarem Parakeet,,t
5186,Pyrrhura calliptera,Brown-breasted Parakeet,,t
5187,Pyrrhura cruentata,Ochre-marked Parakeet,,t
5188,Pyrrhura frontalis,Maroon-bellied Parakeet,,t
5189,Pyrrhura hoematotis,Red-eared Parakeet,,f
5191,Pyrrhura leucotis,Maroon-faced Parakeet,,t
5192,Pyrrhura melanura,Maroon-tailed Parakeet,,t
5193,Pyrrhura molinae,Green-cheeked Parakeet,,t
5194,Pyrrhura orcesi,El Oro Parakeet,,t
5195,Pyrrhura perlata,Crimson-bellied Parakeet,,t
5197,Pyrrhura rhodocephala,Rose-headed Parakeet,,f
5198,Pyrrhura roseifrons,Rose-fronted Parakeet,,t
5199,Pyrrhura rupicola,Black-capped Parakeet,,t
5200,Pyrrhura viridicata,Santa Marta Parakeet,,t
5201,Pytilia melba,Green-winged Pytilia,,t
5202,Quelea quelea,Red-billed Quelea,,t
5211,Rallina eurizonoides,Slaty-legged Crake,,t
5212,Rallina fasciata,Red-legged Crake,,t
5213,Rallina tricolor,Red-necked Crake,,t
5214,Rallus antarcticus,Austral Rail,,t
5215,Rallus aquaticus,Water Rail,2077,t
5216,Rallus caerulescens,African Rail,,t
5219,Rallus indicus,Brown-cheeked Rail,,t
5223,Rallus semiplumbeus,Bogota Rail,,t
5226,Ramphastos brevis,Choco Toucan,,t
5227,Ramphastos dicolorus,Red-breasted Toucan,,t
5229,Ramphastos toco,Toco Toucan,,t
5230,Ramphastos tucanus,White-throated Toucan,,t
5231,Ramphastos vitellinus,Channel-billed Toucan,,t
5233,Ramphocaenus sticturus,Chattering Gnatwren,,t
5234,Ramphocelus bresilius,Brazilian Tanager,,t
5235,Ramphocelus carbo,Silver-beaked Tanager,,t
5238,Ramphocelus melanogaster,Black-bellied Tanager,,f
5239,Ramphocelus nigrogularis,Masked Crimson Tanager,,t
5240,Ramphocelus passerinii,Scarlet-rumped Tanager,1604,t
5242,Ramphodon naevius,Saw-billed Hermit,,t
5243,Ramphomicron microrhynchum,Purple-backed Thornbill,,t
5245,Ramphotrigon fuscicauda,Dusky-tailed Flatbill,,t
5246,Ramphotrigon megacephalum,Large-headed Flatbill,,t
5247,Ramphotrigon ruficauda,Rufous-tailed Flatbill,,t
5248,Ramsayornis modestus,Brown-backed Honeyeater,,t
5249,Rauenia bonariensis,Blue-and-yellow Tanager,,f
5251,Recurvirostra andina,Andean Avocet,,t
5253,Regulus goodfellowi,Flamecrest,,t
5254,Regulus ignicapilla,Common Firecrest,,t
5258,Reinwardtipicus validus,Orange-backed Woodpecker,,t
5259,Reinwardtoena reinwardti,Great Cuckoo-Dove,,t
5260,Remiz consobrinus,Chinese Penduline Tit,,t
5261,Remiz coronatus,White-crowned Penduline Tit,,t
5263,Rhabdotorrhinus corrugatus,Wrinkled Hornbill,,t
5264,Rhabdotorrhinus exarhatus,Sulawesi Hornbill,,t
5265,Rhaphidura leucopygialis,Silver-rumped Spinetail,,f
5266,Rhea americana,Greater Rhea,,t
5267,Rhegmatorhina cristata,Chestnut-crested Antbird,,t
5268,Rhegmatorhina gymnops,Bare-eyed Antbird,,t
5269,Rhegmatorhina hoffmannsi,White-breasted Antbird,,t
5270,Rhegmatorhina melanosticta,Hairy-crested Antbird,,t
5271,Rhinocrypta lanceolata,Crested Gallito,,t
5272,Rhinopomastus cyanomelas,Common Scimitarbill,,t
5273,Rhinortha chlorophaea,Raffles's Malkoha,,t
5274,Rhipidura albicollis,White-throated Fantail,,t
5275,Rhipidura albiscapa,Grey Fantail,,t
5276,Rhipidura albogularis,Spot-breasted Fantail,,t
5607,Sphenoeacus afer,Cape Grassbird,,t
5277,Rhipidura albolimbata,Friendly Fantail,,f
5278,Rhipidura atra,Black Fantail,,f
